curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
448,cease,high_school_selective_compulsory,cease,primary,129
449,ceiling,high_school_selective_compulsory,ceiling,primary,129
450,celebrate,compulsory_education,celebrate,primary,129
451,celebrity,high_school_selective_compulsory,celebrity,primary,129
452,cell,high_school_selective_compulsory,cell,primary,129
453,cent,compulsory_education,cent,primary,129
454,centimetre (centimeter),high_school_selective_compulsory,centimetre,primary,129
454,centimetre (centimeter),high_school_selective_compulsory,centimeter,parenthetical_variant,129
455,central,compulsory_education,central,primary,129
456,centre (center),compulsory_education,centre,primary,129
456,centre (center),compulsory_education,center,parenthetical_variant,129
457,century,compulsory_education,century,primary,129
458,certain,compulsory_education,certain,primary,129
459,certainly,compulsory_education,certainly,primary,129
460,certificate,high_school_selective_compulsory,certificate,primary,129
461,chain,high_school_compulsory,chain,primary,130
462,chair,compulsory_education,chair,primary,130
463,chairman / chairwoman,high_school_selective_compulsory,chairman / chairwoman,primary,130
463,chairman / chairwoman,high_school_selective_compulsory,chairman,slash_component,130
463,chairman / chairwoman,high_school_selective_compulsory,chairwoman,slash_component,130
464,chalk,compulsory_education,chalk,primary,130
465,challenge,high_school_compulsory,challenge,primary,130
466,champion,high_school_compulsory,champion,primary,130
467,chance,compulsory_education,chance,primary,130
468,change,compulsory_education,change,primary,130
469,channel,high_school_selective_compulsory,channel,primary,130
470,chaos,high_school_selective_compulsory,chaos,primary,130
471,chapter,high_school_compulsory,chapter,primary,130
472,character,high_school_compulsory,character,primary,130
473,characteristic,high_school_selective_compulsory,characteristic,primary,130
474,charge,high_school_compulsory,charge,primary,130
475,charity,high_school_compulsory,charity,primary,130
476,chart,high_school_selective_compulsory,chart,primary,130
477,chat,high_school_compulsory,chat,primary,130
478,cheap,compulsory_education,cheap,primary,130
479,cheat,high_school_selective_compulsory,cheat,primary,130
480,check,compulsory_education,check,primary,130
481,cheek,high_school_selective_compulsory,cheek,primary,130
482,cheer,compulsory_education,cheer,primary,130
483,cheese,high_school_selective_compulsory,cheese,primary,130
484,chef,high_school_selective_compulsory,chef,primary,130
485,chemical,high_school_selective_compulsory,chemical,primary,130
486,chemist,high_school_selective_compulsory,chemist,primary,130
487,chemistry,compulsory_education,chemistry,primary,130
488,chess,compulsory_education,chess,primary,130
489,chest,high_school_selective_compulsory,chest,primary,130
490,chew,high_school_selective_compulsory,chew,primary,130
491,chicken,compulsory_education,chicken,primary,130
492,chief,high_school_compulsory,chief,primary,130
493,child (pl. children),compulsory_education,child,primary,130
493,child (pl. children),compulsory_education,children,inflection_variant,130
494,China,compulsory_education,China,primary,130
495,china,high_school_compulsory,china,primary,130
496,Chinese,compulsory_education,Chinese,primary,130
497,chocolate,compulsory_education,chocolate,primary,130
498,choice,compulsory_education,choice,primary,130
499,choke,high_school_selective_compulsory,choke,primary,130
500,choose,compulsory_education,choose,primary,130
501,chopsticks,compulsory_education,chopsticks,primary,130
502,chorus,high_school_selective_compulsory,chorus,primary,130
503,Christmas,compulsory_education,Christmas,primary,130
504,church,high_school_selective_compulsory,church,primary,130
505,cigarette,high_school_selective_compulsory,cigarette,primary,130
506,cinema,compulsory_education,cinema,primary,130
507,circle,compulsory_education,circle,primary,130
508,circuit,high_school_selective_compulsory,circuit,primary,130
509,circumstance,high_school_selective_compulsory,circumstance,primary,130
510,circus,high_school_selective_compulsory,circus,primary,130
511,cite,high_school_selective_compulsory,cite,primary,130
