curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
512,citizen,high_school_selective_compulsory,citizen,primary,130
513,city,compulsory_education,city,primary,130
514,civil,high_school_selective_compulsory,civil,primary,130
515,civilian,high_school_selective_compulsory,civilian,primary,130
516,civilisation (civilization),high_school_selective_compulsory,civilisation,primary,130
516,civilisation (civilization),high_school_selective_compulsory,civilization,parenthetical_variant,130
517,claim,high_school_selective_compulsory,claim,primary,131
518,clap,high_school_compulsory,clap,primary,131
519,clarify,high_school_selective_compulsory,clarify,primary,131
520,class,compulsory_education,class,primary,131
521,classic,high_school_selective_compulsory,classic,primary,131
522,classmate,compulsory_education,classmate,primary,131
523,classroom,compulsory_education,classroom,primary,131
524,clay,high_school_selective_compulsory,clay,primary,131
525,clean,compulsory_education,clean,primary,131
526,clear,compulsory_education,clear,primary,131
527,clerk,high_school_selective_compulsory,clerk,primary,131
528,clever,compulsory_education,clever,primary,131
529,click,high_school_compulsory,click,primary,131
530,client,high_school_selective_compulsory,client,primary,131
531,climate,high_school_compulsory,climate,primary,131
532,climb,compulsory_education,climb,primary,131
533,clinic,high_school_selective_compulsory,clinic,primary,131
534,clock,compulsory_education,clock,primary,131
535,clone,high_school_selective_compulsory,clone,primary,131
536,close,compulsory_education,close,primary,131
537,cloth,high_school_selective_compulsory,cloth,primary,131
538,clothes,compulsory_education,clothes,primary,131
539,cloud,compulsory_education,cloud,primary,131
540,cloudy,compulsory_education,cloudy,primary,131
541,club,compulsory_education,club,primary,131
542,clue,high_school_selective_compulsory,clue,primary,131
543,coach,compulsory_education,coach,primary,131
544,coal,compulsory_education,coal,primary,131
545,coast,compulsory_education,coast,primary,131
546,coat,compulsory_education,coat,primary,131
547,coffee,compulsory_education,coffee,primary,131
548,coin,compulsory_education,coin,primary,131
549,cold,compulsory_education,cold,primary,131
550,collapse,high_school_selective_compulsory,collapse,primary,131
551,collar,high_school_selective_compulsory,collar,primary,131
552,collect,compulsory_education,collect,primary,131
553,collection,high_school_compulsory,collection,primary,131
554,college,compulsory_education,college,primary,131
555,colour (color),compulsory_education,colour,primary,131
555,colour (color),compulsory_education,color,parenthetical_variant,131
556,column,high_school_selective_compulsory,column,primary,131
557,combine,high_school_selective_compulsory,combine,primary,131
558,come,compulsory_education,come,primary,131
559,comedy,high_school_selective_compulsory,comedy,primary,131
560,comfort,high_school_selective_compulsory,comfort,primary,131
561,comfortable,compulsory_education,comfortable,primary,131
562,comic,high_school_selective_compulsory,comic,primary,131
563,comment,high_school_compulsory,comment,primary,131
564,commercial,high_school_selective_compulsory,commercial,primary,131
565,commit,high_school_selective_compulsory,commit,primary,131
566,commitment,high_school_selective_compulsory,commitment,primary,131
567,committee,high_school_compulsory,committee,primary,131
568,common,compulsory_education,common,primary,131
569,communicate,compulsory_education,communicate,primary,131
570,communication,compulsory_education,communication,primary,131
