sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id
202,attract*,attract,attract,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
203,audience*,audience,audience,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
204,August,August,August,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
205,aunt,aunt,aunt,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
206,Australia,Australia,Australia,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
207,Australian,Australian,Australian,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
208,author*,author,author,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
209,authority*,authority,authority,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
210,automatic**,automatic,automatic,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
211,autonomous**,autonomous,autonomous,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
212,autumn,autumn,autumn,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
213,available**,available,available,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
214,average*,average,average,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
215,avoid,avoid,avoid,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
216,awake,awake,awake,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
217,award*,award,award,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
218,aware*,aware,aware,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
219,away,away,away,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
220,awesome**,awesome,awesome,,**,high_school_selective_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
221,awful,awful,awful,,,compulsory_education,word,A,133,125,moe-hs-english-2017-2020-appendix-2
222,awkward*,awkward,awkward,,*,high_school_compulsory,word,A,133,125,moe-hs-english-2017-2020-appendix-2
223,baby,baby,baby,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
224,back,back,back,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
225,background,background,background,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
226,backward**,backward,backward,,**,high_school_selective_compulsory,word,B,133,125,moe-hs-english-2017-2020-appendix-2
227,bacon**,bacon,bacon,,**,high_school_selective_compulsory,word,B,133,125,moe-hs-english-2017-2020-appendix-2
228,bad,bad,bad,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
229,badminton*,badminton,badminton,,*,high_school_compulsory,word,B,133,125,moe-hs-english-2017-2020-appendix-2
230,bag,bag,bag,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
231,bakery**,bakery,bakery,,**,high_school_selective_compulsory,word,B,133,125,moe-hs-english-2017-2020-appendix-2
232,balance*,balance,balance,,*,high_school_compulsory,word,B,133,125,moe-hs-english-2017-2020-appendix-2
233,ball,ball,ball,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
234,ballet*,ballet,ballet,,*,high_school_compulsory,word,B,133,125,moe-hs-english-2017-2020-appendix-2
235,balloon,balloon,balloon,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
236,bamboo,bamboo,bamboo,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
237,ban**,ban,ban,,**,high_school_selective_compulsory,word,B,133,125,moe-hs-english-2017-2020-appendix-2
238,banana,banana,banana,,,compulsory_education,word,B,133,125,moe-hs-english-2017-2020-appendix-2
239,band*,band,band,,*,high_school_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
240,bank,bank,bank,,,compulsory_education,word,B,134,126,moe-hs-english-2017-2020-appendix-2
241,bar*,bar,bar,,*,high_school_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
242,barbecue**,barbecue,barbecue,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
243,barely**,barely,barely,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
244,bark**,bark,bark,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
245,barrier**,barrier,barrier,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
246,base*,base,base,,*,high_school_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
247,baseball,baseball,baseball,,,compulsory_education,word,B,134,126,moe-hs-english-2017-2020-appendix-2
248,basic,basic,basic,,,compulsory_education,word,B,134,126,moe-hs-english-2017-2020-appendix-2
249,basin**,basin,basin,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
250,basis*,basis,basis,,*,high_school_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
251,basket,basket,basket,,,compulsory_education,word,B,134,126,moe-hs-english-2017-2020-appendix-2
252,basketball,basketball,basketball,,,compulsory_education,word,B,134,126,moe-hs-english-2017-2020-appendix-2
253,bat**,bat,bat,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
254,bath**,bath,bath,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
255,bathroom,bathroom,bathroom,,,compulsory_education,word,B,134,126,moe-hs-english-2017-2020-appendix-2
256,battery*,battery,battery,,*,high_school_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
257,battle*,battle,battle,,*,high_school_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
258,bay**,bay,bay,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2
