record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0136,anyone,,anyone,136,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0137,anything,,anything,137,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0138,anyway,,anyway,138,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0139,anywhere,,anywhere,139,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0140,apart,,apart,140,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0141,apartment,,apartment,141,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0142,apologise,apologize,apologise (apologize),142,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0143,apparently,,apparently,143,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0144,appeal,,appeal,144,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0145,appear,,appear,145,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0146,appetite,,appetite,146,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0147,applaud,,applaud,147,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0148,apple,,apple,148,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0149,applicant,,applicant,149,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0150,application,,application,150,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0151,apply,,apply,151,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0152,appointment,,appointment,152,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0153,appreciate,,appreciate,153,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0154,approach,,approach,154,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0155,appropriate,,appropriate,155,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0156,approve,,approve,156,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0157,April,,April,157,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0158,arch,,arch,158,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0159,architect,,architect,159,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0160,area,,area,160,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0161,argue,,argue,161,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0162,arise,,arise,162,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0163,arm,,arm,163,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
