record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0164,army,,army,164,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0165,around,,around,165,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0166,arrangement,,arrangement,166,1,1,high_school_compulsory,*,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0167,arrest,,arrest,167,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0168,arrive,,arrive,168,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0169,arrow,,arrow,169,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0170,art,,art,170,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0171,article,,article,171,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0172,artificial,,artificial,172,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0173,artist,,artist,173,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0174,as,,as,174,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0175,ashamed,,ashamed,175,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0176,Asia,,Asia,176,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0177,Asian,,Asian,177,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0178,aside,,aside,178,1,1,high_school_selective_compulsory,**,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0179,ask,,ask,179,1,1,compulsory_education,,A,124,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
